URL,Status,Load Time (s),Error
https://hsa.fldata.com/TMReports/TMSRC25_ReportSelection.aspx?ParentItem=People&MENUCLICK=TMMYEMPLOYEES,200 (Application Error),7.1,
https://hsa.fldata.com/TMACT/TMSRC238_ViewActionItemCompleted.aspx?Mode=C&SELECTEDCOMPANYID=2&MENUCLICK=TMCOMPANY,200 (Application Error),3.79,
